ABATE,DECREASE,INCREASE
ABSTRACT,SUMMARIZE,OBJECTIVE
ABYSMAL,POOR,EXCELLENT
ACCORDINGLY,CONSEQUENTLY,REGARDLESS
ACQUISITION,ATTAINMENT,SURRENDER
ADAPT,ACCOMODATE,DISARRANGE
